date,"Inflow mln, AMD","Inflow thousand, USD","Inflow of which non-commercial mln, AMD","Inflow of which non-commercial thousand, USD","Outflow mln, AMD","Outflow thousand, USD","Outflow of which non-commercial mln, AMD","Outflow of which non-commercial thousand, USD"
2020-12-01,103422.044054,199073.545739,75464.965959,145278.564227,69173.360961,133397.831943,13464.986668,25942.962432
2021-01-01,59649.358304,114446.690813,41973.979851,80533.883897,42797.791875,82138.051223,9349.909819,17946.805492
2021-02-01,68963.51533,131704.941164,49225.626089,93997.635072,52693.857416,100789.146182,12929.505895,24696.591066
2021-03-01,84115.387981,159442.993975,60986.729334,115608.417781,49359.092252,93583.265033,15128.171197,28677.819867
2021-04-01,88239.303312,167914.406729,61201.353793,116465.68538,49282.006575,93808.805186,14696.700318,27956.412686
2021-05-01,91151.986858,174854.35669,65284.353588,125225.165522,50348.276835,96583.185535,12388.449337,23762.065119
2021-06-01,102370.717507,199803.42012,73710.602815,143702.204277,50500.945311,98382.197693,13007.265859,25352.780804
2021-07-01,97386.202895,198342.973457,69396.744504,141206.169248,47915.870126,97633.798234,12289.073347,25024.290393
2021-08-01,95185.564853,193597.114751,66316.370749,134874.663378,49597.51499,100860.057256,12443.641146,25310.434271
2021-09-01,96030.079576,196699.226593,65282.938604,133738.305667,50173.001392,102815.979798,12923.87228,26478.24954
2021-10-01,88886.823721,185435.716203,60275.122788,125716.516714,54022.064465,112659.184542,12817.481075,26696.747397
2021-11-01,84217.563546,176270.096673,57050.45506,119443.066085,54079.267733,113230.827549,13568.650587,28414.832582
2021-12-01,102035.462073,210424.407223,66250.42352,136717.344303,64609.741051,133137.303347,15441.848612,31855.567492
2022-01-01,61637.884914,127895.185397,36616.251772,75978.264491,42146.924572,87438.321565,9610.429333,19938.823024
2022-02-01,86550.181903,180121.32366,41164.730336,85772.666803,59522.240571,124018.977967,11236.966943,23419.094943
2022-03-01,125434.892988,252638.350513,46009.137565,92607.078967,78956.589224,158904.137935,24363.227999,48955.129696
2022-04-01,140965.482922,299462.564431,64826.994064,137947.004477,62457.867687,132873.540924,12840.290907,27257.122661
2022-05-01,188151.938579,412115.779699,94781.943084,207400.029655,65386.152035,143018.031048,13158.834028,28775.348327
2022-06-01,250694.159725,593923.560575,109708.76901,259969.031844,95371.319972,226047.628208,15286.692178,36212.143632
2022-07-01,232992.748888,567721.022813,90382.446098,219998.101131,177559.419102,432325.198787,14901.781476,36279.98865
2022-08-01,191668.029236,472282.563523,79583.361986,196097.006952,73484.772277,181090.186547,17836.487193,43953.476386
