date,"Currency in circulation mln, AMD","Demand deposits in drams mln, AMD","M1 mln, AMD","Time deposits in drams mln, AMD","M2 mln, AMD","Deposits in foreign currency mln, AMD","M2X mln, AMD"
2009-05-01,226683.632836,82172.859814,308856.49265,60593.194067,369449.686717,285470.023478,654919.710195
2009-06-01,236203.101338,86999.571037,323202.672375,56210.613364,379413.285739,283312.300779,662725.586519
2009-07-01,254582.531821,101918.00024,356500.532061,63017.034102,419517.566163,303181.983173,722699.549336
2009-08-01,262199.565099,96212.421027,358411.986125,64852.756785,423264.74291,317130.657342,740395.400252
2009-09-01,254213.033429,102663.401878,356876.435307,64461.099,421337.534307,322355.096182,743692.630488
2009-10-01,265279.468882,103899.983006,369179.451888,62519.611,431699.062888,331370.102598,763069.165486
2009-11-01,266309.165512,104531.178198,370840.34371,62799.738808,433640.082518,342002.429802,775642.51232
2009-12-01,282440.945113,104354.479286,386795.424398,64082.196288,450877.620686,364112.595864,814990.21655
2010-01-01,252619.142656,97377.747553,349996.890209,62706.628273,412703.518482,367121.699083,779825.217566
2010-02-01,254158.086924,103782.059483,357940.146407,60324.779493,418264.9259,380791.884452,799056.810352
2010-03-01,247352.88379,92920.772283,340273.656073,60627.515137,400901.17121,411372.510943,812273.682153
2010-04-01,252525.102954,94301.685817,346826.788771,62265.552123,409092.340894,387183.021688,796275.362582
2010-05-01,255044.23067,99669.975362,354714.206032,61501.02711,416215.233141,363889.553599,780104.78674
2010-06-01,265110.029169,101431.789788,366541.818957,63548.038096,430089.857053,356546.138164,786635.995217
2010-07-01,275143.05673,105104.175022,380247.231753,65132.129082,445379.360835,362021.056726,807400.417561
2010-08-01,273440.359839,104699.876914,378140.236753,68459.076232,446599.312984,356968.616695,803567.929679
2010-09-01,271998.657257,112684.42336,384683.080617,73062.907931,457745.988548,352470.62915,810216.617699
2010-10-01,279635.369042,112757.534504,392392.903546,77703.354918,470096.258464,354648.955532,824745.213996
2010-11-01,279749.064374,119544.005707,399293.070081,81243.458,480536.528081,358733.139094,839269.667175
2010-12-01,304324.216563,128365.228129,432689.444692,88943.511206,521632.955897,389753.07783,911386.033728
2011-01-01,275472.42199,112971.935594,388444.357584,93351.660904,481796.018489,394639.062513,876435.081002
2011-02-01,276563.468308,117936.474777,394499.943084,100647.128863,495147.071947,399295.283046,894442.354993
2011-03-01,278219.425598,126770.956087,404990.381685,103198.088349,508188.470034,417670.703123,925859.173157
2011-04-01,285285.946711,114356.351082,399642.297793,107184.656048,506826.953841,416525.948323,923352.902164
2011-05-01,293993.893324,124315.132602,418309.025926,108083.568274,526392.5942,422169.04719,948561.641391
2011-06-01,301854.946963,135612.082789,437467.029753,110781.343644,548248.373397,426000.745693,974249.11909
2011-07-01,317818.652692,145660.983852,463479.636544,119884.571165,583364.207709,427974.165155,1011338.372864
2011-08-01,320792.51414,140498.043156,461290.557295,123500.342288,584790.899583,432063.660134,1016854.559717
2011-09-01,320182.039076,147706.879642,467888.918718,124013.826425,591902.745143,428619.937606,1020522.682749
2011-10-01,327143.318165,148539.29314,475682.611306,128374.541712,604057.153018,439330.892661,1043388.045679
2011-11-01,327976.916626,151839.643132,479816.559758,134356.785986,614173.345744,457005.319743,1071178.665488
2011-12-01,349407.246197,164384.977682,513792.223879,145644.399808,659436.623687,467541.573932,1126978.197619
2012-01-01,318965.068873,154751.28714993,473716.35602293,145846.28576286,619562.64178579,477678.76060225,1097241.402388
2012-02-01,319511.1479959,154704.61339418,474215.76139008,157250.46640982,631466.2277999,482180.615879,1113646.8436789
2012-03-01,321269.7565061,156681.57581065,477951.33231675,171903.24030929,649854.57262604,484507.42374275,1134361.9963688
2012-04-01,337153.4380492,154533.07075752,491686.50880672,174400.68708332,666087.19589004,493694.18592977,1159781.3818198
2012-05-01,335804.1114066,150316.2924802,486120.4038868,174080.76583116,660201.16971796,514705.12497574,1174906.2946937
2012-06-01,338896.8753272,143646.14623525,482543.02156245,172275.96221976,654818.98378221,540709.36104291,1195528.3448251
2012-07-01,352815.0217101,153093.27443907,505908.29614917,170018.0969578,675926.39310697,538787.56222802,1214713.955335
2012-08-01,354960.2920411,149587.95135425,504548.24339535,172448.47252107,676996.71591642,564213.14985087,1241209.8657673
2012-09-01,355440.9047522,160337.58840846,515778.49316066,173326.45952076,689104.95268142,578184.09506277,1267289.0477442
2012-10-01,360650.5422801,162578.78985709,523229.33213719,178092.28284089,701321.61497808,577825.1847296,1279146.7997077
2012-11-01,360772.0458329,162690.07215596,523462.11798886,187040.37468069,710502.49266955,588276.47664351,1298778.9693131
2012-12-01,384065.3294649,161727.3162686,545792.6457335,192189.90780908,737982.55354258,608382.35716025,1346364.9107028
2013-01-01,351780.8880345,156998.17018077,508779.05821527,200378.49419402,709157.55240929,610987.18058304,1320144.7329923
2013-02-01,342221.9325534,168717.74352351,510939.67607691,202541.82027605,713481.49635296,633430.72526123,1346912.2216142
2013-03-01,344019.7249558,158137.03449372,502156.75944952,211288.63805766,713445.39750718,650421.26236628,1363866.6598735
2013-04-01,346048.2545803,166211.77196549,512260.02654579,215607.75862702,727867.78517281,640145.48788212,1368013.2730549
2013-05-01,353291.330401,159823.86480722,513115.19520822,214635.35291106,727750.54811928,656505.94529409,1384256.4934134
2013-06-01,351789.2555427,162354.12635284,514143.38189554,217084.66364045,731228.04553599,651889.81950944,1383117.8650454
2013-07-01,365148.4136348,164740.1070002,529888.520635,219026.55349556,748915.07413056,663297.95963358,1412213.0337641
2013-08-01,359178.1183603,166306.35381251,525484.47217281,220948.49061794,746432.96279075,679249.98765831,1425682.9504491
2013-09-01,355298.4211408,180856.623822,536155.0449628,224084.06946506,760239.11442786,697684.03933975,1457923.1537676
2013-10-01,359366.1392272,183319.80575731,542685.94498451,231080.46443491,773766.40941942,693039.23744238,1466805.6468618
2013-11-01,352278.790848,188504.38499641,540783.17584441,241449.50388692,782232.67973133,688405.04446785,1470637.7241992
2013-12-01,384467.4784992,198901.46213757,583368.94063677,264676.97701797,848045.91765474,697326.57861394,1545372.4962687
2014-01-01,338416.305418,184648.84879804,523065.15421604,270194.80934961,793259.96356565,700624.87323462,1493884.8368003
2014-02-01,330989.3889565,185371.8017065,516361.190663,275392.1841598,791753.3748228,723027.38955368,1514780.7643765
2014-03-01,328565.2975005,181784.22023036,510349.51773086,280998.68613736,791348.20386822,747675.1232234,1539023.3270916
2014-04-01,335125.1967114,190206.80230706,525331.99901846,281692.45807291,807024.45709137,743715.75803861,1550740.21513
2014-05-01,341952.5196073,191234.39819122,533186.91779852,289762.07743181,822948.99523033,753089.31076782,1576038.3059982
2014-06-01,347608.0710406,196380.01580294,543988.08684354,291526.47975108,835514.56659462,752044.41674471,1587558.9833393
2014-07-01,357687.7994584,204910.00512883,562597.80458723,296773.46129117,859371.2658784,743062.03751862,1602433.303397
2014-08-01,365117.5969116,191672.35375222,556789.95066382,297452.31946491,854242.27012873,750624.41705933,1604866.6871881
2014-09-01,360416.7432879,206087.1138703,566503.8571582,301341.07421789,867844.93137609,730561.61756023,1598406.5489363
2014-10-01,364381.8983765,210552.25659089,574934.15496739,306059.54480683,880993.69977422,745251.1283409,1626244.8281151
2014-11-01,346450.0013465,203639.01624287,550089.01758937,298711.65374685,848800.67133622,801893.07904986,1650693.7503861
2014-12-01,348358.9744632,182886.26186464,531245.23632784,287032.09258,818277.32890784,855918.28096268,1674195.6098705
2015-01-01,306359.4301619,170327.17560941,476686.60577131,283933.00134427,760619.60711558,853214.79621857,1613834.4033342
2015-02-01,302794.9992025,175306.23010205,478101.22930455,286234.11192946,764335.34123401,857720.07888072,1622055.4201147
2015-03-01,296473.4858073,174230.2730194,470703.7588267,286150.79798063,756854.55680733,844882.07202643,1601736.6288338
2015-04-01,306227.8819384,179550.43293218,485778.31487058,291434.69132061,777213.00619119,858478.32523056,1635691.3314217
2015-05-01,312855.1001344,182919.09135752,495774.19149192,287198.09030969,782972.28180161,896010.71556601,1678982.9973676
2015-06-01,324487.816468,188163.19941903,512651.01588703,287515.08001594,800166.09590297,886780.49050382,1686946.5864068
2015-07-01,345013.7013914,188215.10888682,533228.81027822,294950.32197409,828179.13225231,936082.14501819,1764261.2772705
2015-08-01,328036.575827,173913.67880795,501950.25463495,293086.92373562,795037.17837057,939119.34718493,1734156.5255555
2015-09-01,322172.7444975,187259.63005421,509432.37455171,283660.09100367,793092.46555538,922092.68295367,1715185.1485091
2015-10-01,323571.5165998,210819.42035371,534390.93695351,287267.91587136,821658.85282487,930379.74888776,1752038.6017126
2015-11-01,324518.110055,195434.3663367,519952.4763917,290936.88665285,810889.36304455,956783.22666419,1767672.5897087
2015-12-01,345506.5201069,210114.15504392,555620.67515082,304855.95524411,860476.63039493,995199.85953922,1855676.4899341
2016-01-01,306680.5708513,200305.88487743,506986.45572873,306427.09797301,813413.55370174,1003704.8897114,1817118.4434131
2016-02-01,296854.7464167,212704.7295594,509559.4759761,325644.51288623,835203.98886233,1023772.9990717,1858976.9879341
2016-03-01,296744.5935617,201515.99426986,498260.58783156,350171.86556437,848432.45339593,1023627.1249333,1872059.5783293
2016-04-01,309908.4314452,199641.41364269,509549.84508789,364555.98233548,874105.82742337,994563.5415817,1868669.3690051
2016-05-01,316494.2618705,198738.31585782,515232.57772832,372436.4157758,887668.99350412,981145.66964758,1868814.6631517
2016-06-01,332039.5592653,212504.20069,544543.7599553,381609.71525859,926153.47521389,994638.11466443,1920791.5898783
2016-07-01,348175.4739516,221265.8830466,569441.3569982,382633.85439213,952075.21139033,1048907.7663883,2000982.9777786
2016-08-01,351368.2692959,217336.41738094,568704.68667684,379820.65703769,948525.34371453,1032282.5396514,1980807.8833659
2016-09-01,354656.9585627,221706.5258172,576363.4843799,384213.37506035,960576.85944025,1032442.7335868,1993019.5930271
2016-10-01,356043.93742,222668.12616876,578712.06358876,401587.44569826,980299.50928702,1046152.524304,2026452.033591
2016-11-01,350849.2750616,235639.2930808,586488.5681424,412895.61311853,999384.18126093,1052737.9749395,2052122.1562004
2016-12-01,390918.4613825,264786.45521333,655704.91659583,418025.51662608,1073730.4332219,1106367.4869445,2180097.9201664
2017-01-01,363455.5741566,234479.49532605,597935.06948265,449197.91036879,1047132.9798514,1114253.464693,2161386.4445444
2017-02-01,360583.5920834,242260.83133307,602844.42341647,470811.19474925,1073655.6181657,1130764.7505159,2204420.3686817
2017-03-01,378849.4992285,247091.96607726,625941.46530576,468651.64050453,1094593.1058103,1127353.3968486,2221946.5026588
2017-04-01,372679.0787287,240951.35328997,613630.43201867,483116.94797166,1096747.3799903,1134549.7536042,2231297.1335946
2017-05-01,377018.6462476,242310.2574515,619328.9036991,492084.30090558,1111413.2046047,1119447.9296509,2230861.1342556
2017-06-01,387646.3861469,256363.48472947,644009.87087637,497347.27266052,1141357.1435369,1114674.1633295,2256031.3068664
2017-07-01,407701.409859,289578.59043312,697280.00029212,511241.50379658,1208521.5040887,1142409.1961874,2350930.7002761
2017-08-01,411450.0001905,281779.44868909,693229.44887959,525943.1111719,1219172.5600515,1155107.0193336,2374279.5793851
2017-09-01,413430.4554114,288048.31895709,701478.77436849,526101.41760257,1227580.1919711,1150269.1120035,2377849.3039746
2017-10-01,416951.896333,298979.2044486,715931.1007816,539187.33349131,1255118.4342729,1178866.6212423,2433985.0555152
2017-11-01,411964.9997231,302476.69553262,714441.69525572,556646.52381182,1271088.2190675,1196196.4687733,2467284.6878408
2017-12-01,445155.180902,343646.74946561,788801.93036761,595074.22559462,1383876.1559622,1198907.0161024,2582783.1720646
2018-01-01,408019.9234555,328832.16180921,736852.08526471,602022.4979346,1338874.5831993,1199759.274569,2538633.8577684
2018-02-01,402799.8837933,326367.49146667,729167.37525997,622405.83485654,1351573.2101165,1188658.2127643,2540231.4228808
2018-03-01,403217.9954429,340443.01111451,743661.00655741,631862.31211966,1375523.3186771,1188847.6654994,2564370.9841764
2018-04-01,411658.8571358,325623.95909362,737282.81622942,626817.21024868,1364100.0264781,1147652.163467,2511752.1899451
2018-05-01,425006.0939553,333080.18351585,758086.27747115,636801.62992856,1394887.9073997,1137295.0211075,2532182.9285072
2018-06-01,444864.8246869,338336.50010473,783201.32479163,630172.28760824,1413373.6123999,1150013.1827329,2563386.7951328
2018-07-01,457172.6239927,360684.85044495,817857.47443765,636149.40195006,1454006.8763877,1173108.8195773,2627115.695965
2018-08-01,457766.0530357,351754.14379946,809520.19683516,641143.33953746,1450663.5363726,1176628.2354162,2627291.7717888
2018-09-01,458314.0594507,368253.8881089,826567.9475596,631919.28074752,1458487.2283071,1176995.8586608,2635483.0869679
2018-10-01,459634.7963298,377477.81299395,837112.60932375,647978.09554987,1485090.7048736,1172442.7022971,2657533.4071707
2018-11-01,452359.0334339,383167.84722777,835526.88066167,653916.14645564,1489443.0271173,1187792.282206,2677235.3093233
2018-12-01,476996.4891032,418275.71006348,895272.19916668,671552.28808655,1566824.4872532,1208270.6743132,2775095.1615664
2019-01-01,440501.6388768,406887.00479181,847388.64366861,686213.67525125,1533602.3189199,1193929.5104702,2727531.8293901
2019-02-01,439844.86685,408664.99900935,848509.86585935,709551.44463427,1558061.3104936,1201436.0386249,2759497.3491185
2019-03-01,434436.4846089,408859.54957668,843296.03418558,720887.22225446,1564183.25644,1185960.7210802,2750143.9775202
2019-04-01,427914.1299842,405273.80984147,833187.93982567,738349.92601537,1571537.865841,1192756.5387939,2764294.404635
2019-05-01,427819.8468342,410541.45325474,838361.30008894,758689.55273477,1597050.8528237,1204918.0185407,2801968.8713644
2019-06-01,442130.4652608,395646.18556764,837776.65082844,772672.68489933,1610449.3357278,1182359.4132881,2792808.7490158
2019-07-01,461746.5662925,405663.08698086,867409.65327336,781805.19419488,1649214.8474682,1178430.1680279,2827645.0154961
2019-08-01,458223.9698495,407232.10977222,865456.07962172,808741.60028438,1674197.6799061,1193541.3773644,2867739.0572705
2019-09-01,464531.5491108,411097.7697743,875629.3188851,822209.06061248,1697838.3794976,1192764.741692,2890603.1211896
2019-10-01,468481.2099131,423823.21728494,892304.42719804,841124.69485684,1733429.1220549,1195892.486643,2929321.6086979
2019-11-01,464464.1455475,437037.04922093,901501.19476843,863225.30295025,1764726.4977187,1171118.5368825,2935845.0346012
2019-12-01,502304.1163107,494571.09741476,996875.21372546,906255.79964613,1903131.0133716,1182333.2316449,3085464.2450165
2020-01-01,467879.1019939,454704.342453,922583.4444469,921303.79119628,1843887.2356432,1167119.9238375,3011007.1594807
2020-02-01,457997.5640723,458470.70813214,916468.27220444,957217.9857229,1873686.2579273,1181731.4768457,3055417.7347731
2020-03-01,474828.7863451,454449.58225068,929278.36859578,935722.30755562,1865000.6761514,1209997.8871228,3074998.5632742
2020-04-01,493455.0438201,446082.74223337,939537.78605347,937821.34104752,1877359.127101,1134334.8735282,3011694.0006292
2020-05-01,503794.9394792,465687.69993264,969482.63941184,950344.13341185,1919826.7728237,1158068.8958678,3077895.6686915
2020-06-01,508657.2095712,479252.4685887,987909.6781599,971455.06363703,1959364.7417969,1130231.1123722,3089595.8541691
2020-07-01,530743.0498442,504800.70905019,1035543.7588944,994085.50461918,2029629.2635136,1138533.8608008,3168163.1243144
2020-08-01,538311.9700162,519160.10558414,1057472.0756003,1009081.2437598,2066553.3193601,1149195.4564929,3215748.7758529
2020-09-01,550156.0975063,525269.54191842,1075425.6394247,1006425.8429417,2081851.4823664,1152674.0806969,3234525.5630633
2020-10-01,581744.3394312,504583.95234319,1086328.2917744,978373.27936359,2064701.571138,1118578.9011718,3183280.4723097
2020-11-01,594034.9331212,511016.79263101,1105051.7257522,947515.64600186,2052567.3717541,1145128.2119403,3197695.5836943
2020-12-01,648436.6339512,588304.91973958,1236741.5536908,947162.9424719,2183904.4961627,1178133.5284131,3362038.0245757
2021-01-01,609988.2085112,537741.8958668,1147730.104378,947245.68337468,2094975.7877527,1191784.32378,3286760.1115327
2021-02-01,603217.8758231,573562.4063824,1176780.2822055,959692.89839015,2136473.1805956,1239029.0215031,3375502.2020988
2021-03-01,596222.5986115,595180.75520932,1191403.3538208,964922.00936704,2156325.3631879,1268647.1151002,3424972.4782881
2021-04-01,583773.513307,585974.61430046,1169748.1276075,957816.38812482,2127564.5157323,1250196.2485139,3377760.7642462
2021-05-01,601213.7100925,597811.40850817,1199025.1186007,972914.2911263,2171939.409727,1265815.3561198,3437754.7658467
2021-06-01,623117.0783658,619212.0455979,1242329.1239637,1002752.9303196,2245082.0542833,1246057.4207304,3491139.4750137
