date,Cash_in_Circulation_Mln_AMD,Demand_Deposits_Dram_Mln_AMD,Money_Supply_M1_Mln_AMD,Time_Deposits_Dram_Mln_AMD,Money_Supply_M2_Mln_AMD,Deposits_FX_Mln_AMD,Money_Supply_M2X_Mln_AMD,Remittance_Inflow_Mln_AMD,Remittance_Inflow_Thousand_USD,Remittance_Inflow_NonCommercial_Mln_AMD,Remittance_Inflow_NonCommercial_Thousand_USD,Remittance_Outflow_Mln_AMD,Remittance_Outflow_Thousand_USD,Remittance_Outflow_NonCommercial_Mln_AMD,Remittance_Outflow_NonCommercial_Thousand_USD,Remittance_Net_Mln_AMD,Remittance_Net_Thousand_USD
2019-01-01,438260.9967785667,408137.18445928,846398.1812378466,705550.7807133266,1551948.9619511666,1193775.4233917666,2745724.3853429332,63586.59376733333,130488.55310566667,37491.904477,76928.67691600001,46550.978914666666,95540.32154933334,10795.177676,22146.781877666668,17035.614852666666,34948.23155633333
2019-04-01,432621.48069306667,403820.48288794997,836441.9635810166,756570.72121649,1593012.6847975,1193344.6568742332,2786357.341671733,76176.17730966666,158373.51193366665,50174.451108,104320.87155133334,56070.72190133333,116591.46157333332,12625.554755333333,26241.217827,20105.455408333335,41782.05036033333
2019-07-01,461500.69508426666,407997.65550912666,869498.3505933933,804251.9516972466,1673750.3022906333,1188245.4290281,2861995.731318733,84939.321225,178359.29046333334,60810.38626866666,127690.83738666667,68394.327634,143616.59057466665,13858.890845333333,29101.732242333335,16544.993591000002,34742.69988866667
2019-10-01,478416.49059043336,451810.45464020997,930226.9452306433,870201.9324844066,1800428.8777150668,1183114.7517234667,2983543.629438533,88612.10216299999,185636.21766666663,56472.16867933333,118315.69148333331,61619.465511333336,129102.35377500001,13243.023054,27747.221963,26992.63665166667,56533.86389166666
2020-01-01,466901.81747043337,455874.87761194,922776.6950823733,938081.3614916,1860858.0565739665,1186283.0959353333,3047141.152509333,56784.75079066667,117854.36453433333,34614.93486166667,71865.55575333333,42786.84543133333,88728.27922933333,10746.305952666668,22282.374319666666,13997.905359333336,29126.085304999997
2020-04-01,501969.06429016666,463674.3035849033,965643.36787507,953206.8460321333,1918850.2139072,1140878.2939227333,3059728.507829933,58381.42534666666,120675.74081266667,39030.357058333335,80726.69363200001,41365.49164966666,85543.69634433334,9481.047034000001,19591.546155666667,17015.933697,35132.04446833333
2020-07-01,539737.0391222333,516410.1188509166,1056147.1579731333,1003197.5304402267,2059344.6884133667,1146801.1326635333,3206145.8210768667,91105.776393,187626.95545833334,63827.80818,131447.05919866668,52776.67014733333,108670.80737566667,11888.503338666667,24485.537729,38329.10624566667,78956.14808266667
2020-10-01,608071.9688345334,534635.22157126,1142707.1904058,957683.9559457833,2100391.1463516,1147280.2138417333,3247671.3601932335,94531.20281066665,187735.83926266665,67077.16092133333,133078.550053,70259.72652433334,139503.925188,12456.601417,24736.933505666664,24271.476286333334,48231.91407466666
2021-01-01,603142.8943152666,568828.3524861733,1171971.2468014334,957286.8637106234,2129258.1105120666,1233153.4867944333,3362411.5973065333,70909.42053833333,135198.20865066667,50728.77842466667,96713.31225,48283.580514333335,92170.154146,12469.195636999999,23773.73880833333,22625.840024,43028.05450466666
2021-04-01,602701.4339217666,600999.35613551,1203700.7900573,977827.8698569067,2181528.6599141997,1254023.0084547,3435551.6683688667,93920.66922566667,180857.394513,66732.10339866667,128464.35172633333,50043.742907,96258.06280466665,13364.138504666667,25690.41953633333,43876.926318666665,84599.33170833334
