date,Cash_in_Circulation_Mln_AMD,Demand_Deposits_Dram_Mln_AMD,Money_Supply_M1_Mln_AMD,Time_Deposits_Dram_Mln_AMD,Money_Supply_M2_Mln_AMD,Deposits_FX_Mln_AMD,Money_Supply_M2X_Mln_AMD,Remittance_Inflow_Mln_AMD,Remittance_Inflow_Thousand_USD,Remittance_Inflow_NonCommercial_Mln_AMD,Remittance_Inflow_NonCommercial_Thousand_USD,Remittance_Outflow_Mln_AMD,Remittance_Outflow_Thousand_USD,Remittance_Outflow_NonCommercial_Mln_AMD,Remittance_Outflow_NonCommercial_Thousand_USD,Remittance_Net_Mln_AMD,Remittance_Net_Thousand_USD
2016-11-01,350849.2750616,235639.2930808,586488.5681424,412895.61311853,999384.18126093,1052737.9749395,2052122.1562004,59142.624681,123631.79194,45905.188364,95959.364091,31960.325062,66817.439338,11698.818739,24453.111208,27182.299619,56814.352602
2016-12-01,390918.4613825,264786.45521333,655704.91659583,418025.51662608,1073730.4332219,1106367.4869445,2180097.9201664,102189.733994,211572.20547,56732.127419,117462.744199,52670.050156,109025.467839,15068.88284,31205.644981,49519.683838,102546.73763099998
2017-01-01,363455.5741566,234479.49532605,597935.06948265,449197.91036879,1047132.9798514,1114253.464693,2161386.4445444,40981.629752,84327.959151,28893.441245,59450.488878,20727.519711,42647.113915,7790.142561,16027.932297,20254.110041,41680.845236
2017-02-01,360583.5920834,242260.83133307,602844.42341647,470811.19474925,1073655.6181657,1130764.7505159,2204420.3686817,49216.803136,101145.32209,34637.821484,71184.316733,32281.651496,66352.486825,10471.337132,21521.733828,16935.151640000004,34792.835265
2017-03-01,378849.4992285,247091.96607726,625941.46530576,468651.64050453,1094593.1058103,1127353.3968486,2221946.5026588,61815.943534,127486.505217,42036.359775,86674.951075,36127.780109,74501.914812,13346.885855,27519.189843,25688.163425,52984.590404999995
2017-04-01,372679.0787287,240951.35328997,613630.43201867,483116.94797166,1096747.3799903,1134549.7536042,2231297.1335946,53011.596698,109286.903805,39957.070595,82380.773595,41874.229921,86282.410537,11387.378155,23474.486527,11137.366777000003,23004.49326799999
2017-05-01,377018.6462476,242310.2574515,619328.9036991,492084.30090558,1111413.2046047,1119447.9296509,2230861.1342556,74886.955206,154924.813823,51390.591036,106291.766779,38286.255595,79194.943774,12849.243658,26577.766776,36600.699611,75729.870049
2017-06-01,387646.3861469,256363.48472947,644009.87087637,497347.27266052,1141357.1435369,1114674.1633295,2256031.3068664,71053.562917,147588.657025,54834.932822,113908.630824,38454.353734,79861.31315,13363.376195,27756.664055,32599.209183000006,67727.34387499999
2017-07-01,407701.409859,289578.59043312,697280.00029212,511241.50379658,1208521.5040887,1142409.1961874,2350930.7002761,83891.255559,175122.287948,62896.010467,131290.546967,37279.478299,77811.143189,11430.034613,23859.643226,46611.777259999995,97311.14475900002
2017-08-01,411450.0001905,281779.44868909,693229.44887959,525943.1111719,1219172.5600515,1155107.0193336,2374279.5793851,83534.498039,174508.72466,64570.195488,134882.561477,36115.052114,75453.863373,12559.18005,26239.020048,47419.445925,99054.861287
